Date Read,Author,Title,Published,Rating
20190801,John Z. Sonmez,Soft Skills,2014,★★☆☆☆
20190801,Tom DeMarco,Peopleware,2013,★★★☆☆
20190820,Susan Page,The Power of Business Process Improvement,2010,☆☆☆☆☆
20190820,Phil M. Jones,Exactly What to Say,2017,★★★★☆
20190820,Ben Horowitz,The Hard Thing About Hard Things,2014,★★★☆☆
20191201,Brett McKay,The Art of Manliness,2009,★★★★☆
20191220,Josh Tyler,Building Great Software Engineering Teams,2015,★★★★☆
20191223,Matthew Walker,Why We Sleep,2017,★★★★☆
20200116,Shu Hattori,The McKinsey Edge,2015,★★★★☆
20200123,Сара Купер,100 способов казаться умнее,2017,★★★★☆
20200311,E.W. Fünfgeld,Rökan,1988,★★★★☆
20200314,Gerald Lewis,Organizational Crisis Management,2006,★★☆☆☆
20200314,Lauren Wilson,The Art of Eating through the Zombie Apocalypse,2014,★★★☆☆
20200316,David Nickson,Project Management Disasters,2006,★★★☆☆
20200316,Timothy Coombs,Code Red in the Boardroom,2006,★★★☆☆
20200328,Monique Aubry,Project Management in Extreme Situations,2016,★★★☆☆
20200402,Alan W. Watts,The Essential Alan Watts,1995,★★★★★
20200413,Geoffrey West,Scale,2017,★★★★☆
20200413,Frank Supovitz,What to Do When Things Go Wrong,2019,★★★☆☆
20200413,Ragnar Benson,Ragnar’s Urban Survival,2000,★★★★☆
20200422,Стивен Кинг,Институт,2019,★★★★☆
20200425,Tade Thompson,The Rosewater,2018,★★★★☆
20200425,Lindsey Bowden,Damn Fine Cherry Pie,2016,★★★★☆
20200425,Kate McDermott,Art of the Pie,2016,★★★★☆
20200426,Irma S. Rombauer,Joy of Cooking,2002,★★★★☆
20200426,Emily Elsen,The Four & Twenty Blackbirds Pie Book,2019,★★★★☆
20200426,Tade Thompson,The Rosewater Insurrection,2019,★★★☆☆
20200427,Kate McDermott,Pie Camp,2012,★★★★☆
20200427,Linda Hoskins,The Ultimate Book of Pies,2012,★★★★☆
20200507,Shing-Tung Yau,The Shape of a Life,2019,★★☆☆☆
20200508,Douglas Preston,The Monster of Florence,2008,★★★☆☆
20200508,Alfred Bester,Tiger! Tiger!,1956,★★★★★
20200513,Trevor Owens,The Theory and Craft of Digital Preservation,2018,☆☆☆☆☆
20200513,Donald T. Hawkins,Personal Archiving,2013,☆☆☆☆☆
20200513,David Giaretta,Advanced Digital Preservation,2011,☆☆☆☆☆
20200520,Richard Evans Schultes,Hallucinogenic Plants,1976,★★★☆☆
20200520,Lisa Tessman,When Doing the Right Thing Is Impossible,2017,★★★★☆
20200531,Мур Лафферти,Шесть пробуждений,2017,★★★☆☆
20200609,Mark Frost,Twin Peaks The Final Dossier,2017,★★★★☆
20200925,Бернард Марр,Искусственный интеллект на практике,2019,★★★☆☆
20200926,Марта Уэллс,Дневники Киллербота,2017,★★★☆☆
20201003,Ким Онсу,Планировщики,2010,★★★★★
20201007,Хлоя Бенджамин,Бессмертники,2018,★★☆☆☆
20201007,Крейг Расселл,Аспект дьявола,2019,★★★☆☆
20201010,Margareta Magnusson,The Gentle Art of Swedish Death Cleaning,2010,★★★★★
20201011,Patrick Saint-Paul,The Rat People,2020,★★★☆☆
20201022,William J. Sidis,The Animate and the Inanimate,1925,★★☆☆☆
20201022,Stephen King,Under the Dome,2020,★★☆☆☆
20201022,Stephen King,The Colorado Kid,2005,★★★☆☆
20201026,Альфред Бестер,Голем100,1980,★★★★☆
20201027,Альфред Бестер,The Deceivers,1981,★★★★☆
20201207,Николай Воробьев,Числа Фибоначчи,1978,★★★☆☆
20201207,Edwin Black,IBM and the Holocaust,2012,★★★★☆
20201207,Philip Ball,Branches,2009,★★★★★
20201221,Джефф Вандермєєр,Знищення,2014,★★★☆☆
20201224,Джефф Вандермєєр,Засвідчення,2014,★★☆☆☆
20201225,Дэвид Райх,Кто мы и как сюда попали,2018,★★☆☆☆
20201226,Джефф Вандермєєр,Замирення,2014,★★☆☆☆
20201227,Джек Финней,Похитители тел,1955,★★☆☆☆
20210102,Роберт Силверберг,Книга черепов,1972,★★★☆☆
20210102,Роберт Силверберг,Умирая в себе,1972,★★★★★
20210103,Олексій Чупа,Акваріум,2015,★☆☆☆☆
20210108,Питер Уоттс,Ложная слепота,2014,★★★☆☆
20210108,Нил Стивенсон,Лавина,1992,★★★☆☆
20210121,Джеймс Д. Прескотт,Код,2017,★★☆☆☆
20210121,Роберт Шеклі,Цивілізація статусу,1960,★★★★☆
20210126,Джеймс Глик,Хаос,1987,★★★☆☆
20210211,Raymond Camden,Working with Static Sites,2017,★★★★☆
20210308,Олександр Іщук,Генерал Микола Арсенич,2010,★★★☆☆
20210310,Jeremy Thomas,Creating Interfaces with Bulma,2018,★★★★★
20210310,Андрій Яницький,Приватна історія,2018,★★☆☆☆
20210311,Martin E. P. Seligman,The Hope Circuit,2018,★★★☆☆
20210331,Shabtai Shavit,Head of Mossad,2018,★★☆☆☆
20210403,Адриан Чайковски,Дети времени,2015,★★★☆☆
20210403,Geoffrey Crinson Bunn,The hazards of the will to truth,1998,★★☆☆☆
20210413,Daniel Coyle,The Culture Code,2018,★★★☆☆
20210509,Ник Харкуэй,Гномон,2017,☆☆☆☆☆
20210522,Camilla Pang,An Outsider’s Guide to Humans,2020,☆☆☆☆☆
20210525,Ryan A Bush,Designing the Mind,2021,★★★☆☆
20210530,Sönke Ahrens,How to Take Smart Notes,2017,★★★★☆
20210610,Jeff Schwartz,Work Disrupted,2021,★★★☆☆
20210612,Дин Кунц,Молния,1988,★★☆☆☆
20210618,Джонатан Литэм,Помутнение,2016,★★★★☆
20210618,Адам Робертс,Стеклянный Джек,2012,★★☆☆☆
20210618,Ben Frain,Responsive Web Design,2020,★★★☆☆
20210904,Ли Сын У,Тайная жизнь растений,2000,★★★☆☆
20210919,Chaim Miller,Turning Judaism Outwards,2012,★★★★★
20210929,Rick Wiebe,How to Make Music with Your Pocket Knife,2012,★★★★☆
20211003,Томас Гарріс,Червоний дракон,1981,★★☆☆☆
20211004,Томас Гарріс,Сходження Ганнібала,2006,★★☆☆☆
20211004,Томас Гарріс,Ганнібал,1999,★★☆☆☆
20211004,Томас Гарріс,Мовчання ягнят,1988,★★★☆☆
20211007,Александр Лурия,Маленькая книжка о большой памяти,1968,★★☆☆☆
20211008,Jeffrey D. Simon,The Alphabet Bomber,2019,★★☆☆☆
20211009,Томас Клири,Пять домов Дзэн,1997,★★★☆☆
20211009,Тёкицу Куруматани,Неудавшееся двойное самоубийство,1996,★★☆☆☆
20211103,Том Светерлич,Завтра вновь и вновь,2014,★★★☆☆
20211114,Dennis Lim,The Man From Another Place,2015,★★☆☆☆
20211115,David Lynch,Catching the Big Fish,2006,★★★★☆
20211116,Michael Hartl,Learn Enough Command Line,2019,★★★☆☆
20211116,Jerzy Ficowski,Regions of the Great Heresy,2000,★★★☆☆
20211116,Станіслав Лем,Повернення з зірок,1961,★★★☆☆
20211204,Chris Atkins,A Bit of a Stretch,2020,★★☆☆☆
20211207,Un-su Kim,The Cabinet,2006,★★★★★
20211228,Erica Jong,How to Save Your Own Life,1977,★★★☆☆
20220201,Kai-Fu Lee,AI 2041,2021,☆☆☆☆☆
20220217,Zelazny Roger,Coils,1982,★★★☆☆
20220217,Михал Протасюк,Дух времени,2017,★★☆☆☆
20220220,Семюел Бекет,Уот,1953,★★★★☆
20220610,Taizan Maezumi,Appreciate Your Life,2001,☆☆☆☆☆
20221220,Юрій Винничук,Вілла Деккера ,1953,★★★☆☆
20230106,Марек Краєвський,Голова Мінотавра,2009,★★☆☆☆
20230109,Марек Краєвський,Еринії,2010,★★☆☆☆
20230220,Michael FitzGerald,The Nazis and the Supernatural,2020,★★★☆☆
20230310,Станіслав Лем,Непереможний,1964,★★★☆☆
20230312,Стівен Кінг,Біллі Саммерс ,2021,★★★☆☆
20230320,Роберт Силверберг,Провидец (Stochastic Man),1975,★★★☆☆
20230322,Fuminori Nakamura,The Thief,2012,★★★☆☆
20230415,Харукі Муракамі,1Q84,2009,★★★☆☆
20230503,Chaim Miller,A Biography of the Rebbe,2014,★★★★☆
20230520,Ёсида Кэнко,Записки от скуки,1332,★★★☆☆
20230523,Джеймс Джойс,Улісс,1920,★★★★☆
20230610,Джон Фаулз,Колекціонер,1963,★★☆☆☆
